"","MS1_MASS_DAC_SETTING","LM_RESOLUTION_SETTING","SOURCE_BIAS_SETTING","SAMPLE_CONE_VOLTAGE_SETTING","targetMass","targetTime"
"9807",3022.183,NA,-80,-30,181.7854,833.144016265869
"9808",1740.7387,NA,-60,-30,104.7061,833.199977874756
"9809",7825.6505,NA,-80,-30,470.7158,833.255023956299
"9810",NA,NA,NA,-30,NA,833.455982208252
"9811",1929.5298,NA,-60,-30,116.0619,833.511028289795
"9812",3480.4756,NA,-120,-30,209.3519,833.566017150879
"9813",3480.4756,NA,-100,-30,209.3519,833.621978759766
"9814",4601.5522,NA,-80,-30,276.7851,833.677024841309
"9815",NA,NA,NA,-30,NA,833.877010345459
"9816",1892.3344,NA,-60,-30,113.8246,833.931999206543
"9817",5142.7922,NA,-80,-30,309.3409,833.988018035889
"9818",4312.2885,NA,-100,-30,259.3858,834.043006896973
"9819",7825.6505,NA,-60,-30,470.7158,834.097995758057
"9820",NA,NA,NA,-30,NA,834.299011230469
"9821",2834.0719,NA,-60,-30,170.4705,834.354000091553
"9822",3480.4756,NA,-120,-30,209.3519,834.408988952637
"9823",3480.4756,NA,-80,-30,209.3519,834.465007781982
"9824",2834.0719,NA,-100,-30,170.4705,834.519996643066
"9825",NA,NA,NA,-30,NA,834.721012115479
"9826",4312.2885,NA,-100,-30,259.3858,834.776000976562
"9827",5142.7922,NA,-100,-30,309.3409,834.830989837646
"9828",2605.5177,NA,-120,-30,156.7229,834.88597869873
"9829",2605.5177,NA,-120,-30,156.7229,834.941997528076
"9830",NA,NA,NA,-30,NA,835.141983032227
"9831",5607.9619,NA,-120,-30,337.321,835.196971893311
"9832",8092.5221,NA,-80,-30,486.7682,835.252990722656
"9833",3636.8205,NA,-100,-30,218.7561,835.30797958374
"9834",1856.4719,NA,-80,-30,111.6675,835.363998413086
"9835",NA,NA,NA,-30,NA,835.563983917236
"9836",1377.5252,NA,-80,-30,82.8587,835.61897277832
"9837",4030.1779,NA,-100,-30,242.4167,835.674018859863
"9838",4030.1779,NA,-120,-30,242.4167,835.72998046875
"9839",2203.8767,NA,-100,-30,132.564,835.785026550293
"9840",NA,NA,NA,-30,NA,835.985984802246
"9841",2197.24,NA,-60,-30,132.1648,836.04097366333
"9842",1926.5969,NA,-80,-30,115.8855,836.096019744873
"9843",1926.5969,NA,-80,-30,115.8855,836.151008605957
"9844",2203.8767,NA,-60,-30,132.564,836.207027435303
"9845",NA,NA,NA,-30,NA,836.407012939453
